DISTRICTNAME,UNITNAME,Year,TotalAccidents
Bidar,Bhalki Rural PS,2017,23
Bidar,Bhalki Rural PS,2018,34
Bidar,Bhalki Rural PS,2019,37
Bidar,Bhalki Rural PS,2020,36
Bidar,Bhalki Rural PS,2021,35
Bidar,Bhalki Rural PS,2022,41
Bidar,Bhalki Rural PS,2023,37
Bidar,Bhalki Town PS,2016,50
Bidar,Bhalki Town PS,2017,38
Bidar,Bhalki Town PS,2018,38
Bidar,Bhalki Town PS,2019,46
Bidar,Bhalki Town PS,2020,51
Bidar,Bhalki Town PS,2021,51
Bidar,Bhalki Town PS,2022,39
Bidar,Bhalki Town PS,2023,36
Bidar,Bidar Rural PS,2016,14
Bidar,Bidar Rural PS,2017,21
Bidar,Bidar Rural PS,2018,32
Bidar,Bidar Rural PS,2019,38
Bidar,Bidar Rural PS,2020,22
Bidar,Bidar Rural PS,2021,28
Bidar,Bidar Rural PS,2022,27
Bidar,Bidar Rural PS,2023,25
Bidar,Bidar Town PS,2016,1
Bidar,Bidar Town PS,2017,5
Bidar,Bidar Town PS,2018,12
Bidar,Bidar Town PS,2019,12
Bidar,Bidar Town PS,2020,13
Bidar,Bidar Town PS,2021,11
Bidar,Bidar Town PS,2022,10
Bidar,Bidar Town PS,2023,6
Bidar,Bidar Traffic PS,2016,183
Bidar,Bidar Traffic PS,2017,141
Bidar,Bidar Traffic PS,2018,139
Bidar,Bidar Traffic PS,2019,94
Bidar,Bidar Traffic PS,2020,95
Bidar,Bidar Traffic PS,2021,112
Bidar,Bidar Traffic PS,2022,117
Bidar,Bidar Traffic PS,2023,109
Bidar,Chintaki PS,2016,7
Bidar,Chintaki PS,2017,9
Bidar,Chintaki PS,2018,10
Bidar,Chintaki PS,2019,9
Bidar,Chintaki PS,2020,10
Bidar,Chintaki PS,2021,8
Bidar,Chintaki PS,2022,6
Bidar,Chintaki PS,2023,11
Bidar,Chitaguppa PS,2016,44
Bidar,Chitaguppa PS,2017,50
Bidar,Chitaguppa PS,2018,56
Bidar,Chitaguppa PS,2019,58
Bidar,Chitaguppa PS,2020,60
Bidar,Chitaguppa PS,2021,31
Bidar,Chitaguppa PS,2022,47
Bidar,Chitaguppa PS,2023,36
Bidar,Dhannura PS,2016,40
Bidar,Dhannura PS,2017,64
Bidar,Dhannura PS,2018,65
Bidar,Dhannura PS,2019,56
Bidar,Dhannura PS,2020,46
Bidar,Dhannura PS,2021,40
Bidar,Dhannura PS,2022,50
Bidar,Dhannura PS,2023,36
Bidar,Gandhi Gunj PS,2016,3
Bidar,Gandhi Gunj PS,2017,7
Bidar,Gandhi Gunj PS,2018,15
Bidar,Gandhi Gunj PS,2019,7
Bidar,Gandhi Gunj PS,2020,6
Bidar,Gandhi Gunj PS,2021,12
Bidar,Gandhi Gunj PS,2022,7
Bidar,Gandhi Gunj PS,2023,7
Bidar,Hallikhed PS,2016,43
Bidar,Hallikhed PS,2017,45
Bidar,Hallikhed PS,2018,39
Bidar,Hallikhed PS,2019,49
Bidar,Hallikhed PS,2020,42
Bidar,Hallikhed PS,2021,42
Bidar,Hallikhed PS,2022,38
Bidar,Hallikhed PS,2023,25
Bidar,Hokrana PS,2016,7
Bidar,Hokrana PS,2017,8
Bidar,Hokrana PS,2018,15
Bidar,Hokrana PS,2019,8
Bidar,Hokrana PS,2020,12
Bidar,Hokrana PS,2021,7
Bidar,Hokrana PS,2022,13
Bidar,Hokrana PS,2023,10
Bidar,Hulsoor PS,2016,19
Bidar,Hulsoor PS,2017,24
Bidar,Hulsoor PS,2018,16
Bidar,Hulsoor PS,2019,18
Bidar,Hulsoor PS,2020,24
Bidar,Hulsoor PS,2021,16
Bidar,Hulsoor PS,2022,15
Bidar,Hulsoor PS,2023,17
Bidar,Humnabad Traffic PS,2016,123
Bidar,Humnabad Traffic PS,2017,122
Bidar,Humnabad Traffic PS,2018,148
Bidar,Humnabad Traffic PS,2019,132
Bidar,Humnabad Traffic PS,2020,102
Bidar,Humnabad Traffic PS,2021,100
Bidar,Humnabad Traffic PS,2022,120
Bidar,Humnabad Traffic PS,2023,119
Bidar,Janwada PS,2016,44
Bidar,Janwada PS,2017,36
Bidar,Janwada PS,2018,35
Bidar,Janwada PS,2019,35
Bidar,Janwada PS,2020,30
Bidar,Janwada PS,2021,32
Bidar,Janwada PS,2022,39
Bidar,Janwada PS,2023,45
Bidar,Kamalanagar PS,2016,16
Bidar,Kamalanagar PS,2017,23
Bidar,Kamalanagar PS,2018,17
Bidar,Kamalanagar PS,2019,11
Bidar,Kamalanagar PS,2020,21
Bidar,Kamalanagar PS,2021,19
Bidar,Kamalanagar PS,2022,22
Bidar,Kamalanagar PS,2023,22
Bidar,Khataka Chincholi PS,2016,12
Bidar,Khataka Chincholi PS,2017,17
Bidar,Khataka Chincholi PS,2018,29
Bidar,Khataka Chincholi PS,2019,27
Bidar,Khataka Chincholi PS,2020,23
Bidar,Khataka Chincholi PS,2021,17
Bidar,Khataka Chincholi PS,2022,20
Bidar,Khataka Chincholi PS,2023,13
Bidar,Kushnoor PS,2016,17
Bidar,Kushnoor PS,2017,28
Bidar,Kushnoor PS,2018,31
Bidar,Kushnoor PS,2019,15
Bidar,Kushnoor PS,2020,25
Bidar,Kushnoor PS,2021,25
Bidar,Kushnoor PS,2022,17
Bidar,Kushnoor PS,2023,17
Bidar,Manna Ekhelli PS,2016,48
Bidar,Manna Ekhelli PS,2017,61
Bidar,Manna Ekhelli PS,2018,66
Bidar,Manna Ekhelli PS,2019,44
Bidar,Manna Ekhelli PS,2020,61
Bidar,Manna Ekhelli PS,2021,73
Bidar,Manna Ekhelli PS,2022,63
Bidar,Manna Ekhelli PS,2023,58
Bidar,Mannalli PS,2016,24
Bidar,Mannalli PS,2017,23
Bidar,Mannalli PS,2018,24
Bidar,Mannalli PS,2019,12
Bidar,Mannalli PS,2020,18
Bidar,Mannalli PS,2021,18
Bidar,Mannalli PS,2022,26
Bidar,Mannalli PS,2023,14
Bidar,Manthala PS,2016,16
Bidar,Manthala PS,2017,16
Bidar,Manthala PS,2018,13
Bidar,Manthala PS,2019,29
Bidar,Manthala PS,2020,16
Bidar,Manthala PS,2021,14
Bidar,Manthala PS,2022,8
Bidar,Manthala PS,2023,17
Bidar,Market PS,2016,10
Bidar,Market PS,2017,4
Bidar,Market PS,2018,11
Bidar,Market PS,2019,12
Bidar,Market PS,2020,5
Bidar,Market PS,2021,5
Bidar,Market PS,2022,11
Bidar,Market PS,2023,1
Bidar,Mehakar PS,2016,4
Bidar,Mehakar PS,2017,15
Bidar,Mehakar PS,2018,9
Bidar,Mehakar PS,2019,16
Bidar,Mehakar PS,2020,16
Bidar,Mehakar PS,2021,16
Bidar,Mehakar PS,2022,15
Bidar,Mehakar PS,2023,9
Bidar,Mudbi PS,2016,25
Bidar,Mudbi PS,2017,18
Bidar,Mudbi PS,2018,25
Bidar,Mudbi PS,2019,31
Bidar,Mudbi PS,2020,20
Bidar,Mudbi PS,2021,23
Bidar,Mudbi PS,2022,23
Bidar,Mudbi PS,2023,23
Bidar,New Town PS,2016,20
Bidar,New Town PS,2017,22
Bidar,New Town PS,2018,13
Bidar,New Town PS,2019,12
Bidar,New Town PS,2020,12
Bidar,New Town PS,2021,8
Bidar,New Town PS,2022,15
Bidar,New Town PS,2023,16
Bidar,Santhapur PS,2016,21
Bidar,Santhapur PS,2017,24
Bidar,Santhapur PS,2018,38
Bidar,Santhapur PS,2019,31
Bidar,Santhapur PS,2020,19
Bidar,Santhapur PS,2021,24
Bidar,Santhapur PS,2022,34
Bidar,Santhapur PS,2023,30
Chamarajanagar,Begur PS,2016,42
Chamarajanagar,Begur PS,2017,47
Chamarajanagar,Begur PS,2018,74
Chamarajanagar,Begur PS,2019,75
Chamarajanagar,Begur PS,2020,42
Chamarajanagar,Begur PS,2021,47
Chamarajanagar,Begur PS,2022,76
Chamarajanagar,Begur PS,2023,85
Chamarajanagar,Chamarajanagar East PS,2016,49
Chamarajanagar,Chamarajanagar East PS,2017,44
Chamarajanagar,Chamarajanagar East PS,2018,20
Chamarajanagar,Chamarajanagar East PS,2019,28
Chamarajanagar,Chamarajanagar East PS,2020,30
Chamarajanagar,Chamarajanagar East PS,2021,17
Chamarajanagar,Chamarajanagar East PS,2022,20
Chamarajanagar,Chamarajanagar East PS,2023,26
Chamarajanagar,Chamarajanagar Rural PS,2016,27
Chamarajanagar,Chamarajanagar Rural PS,2017,25
Chamarajanagar,Chamarajanagar Rural PS,2018,20
Chamarajanagar,Chamarajanagar Rural PS,2019,20
Chamarajanagar,Chamarajanagar Rural PS,2020,16
Chamarajanagar,Chamarajanagar Rural PS,2021,21
Chamarajanagar,Chamarajanagar Rural PS,2022,16
Chamarajanagar,Chamarajanagar Rural PS,2023,17
Chamarajanagar,Chamarajanagar Traffic PS,2016,71
Chamarajanagar,Chamarajanagar Traffic PS,2017,119
Chamarajanagar,Chamarajanagar Traffic PS,2018,117
Chamarajanagar,Chamarajanagar Traffic PS,2019,88
Chamarajanagar,Chamarajanagar Traffic PS,2020,97
Chamarajanagar,Chamarajanagar Traffic PS,2021,87
Chamarajanagar,Chamarajanagar Traffic PS,2022,112
Chamarajanagar,Chamarajanagar Traffic PS,2023,114
Chamarajanagar,Gundlupete  PS,2016,56
Chamarajanagar,Gundlupete  PS,2017,96
Chamarajanagar,Gundlupete  PS,2018,107
Chamarajanagar,Gundlupete  PS,2019,109
Chamarajanagar,Gundlupete  PS,2020,81
Chamarajanagar,Gundlupete  PS,2021,75
Chamarajanagar,Gundlupete  PS,2022,84
Chamarajanagar,Gundlupete  PS,2023,90
Chamarajanagar,Hanur PS,2016,26
Chamarajanagar,Hanur PS,2017,28
Chamarajanagar,Hanur PS,2018,32
Chamarajanagar,Hanur PS,2019,35
Chamarajanagar,Hanur PS,2020,39
Chamarajanagar,Hanur PS,2021,26
Chamarajanagar,Hanur PS,2022,30
Chamarajanagar,Hanur PS,2023,28
Chamarajanagar,Kollegala Rural  PS,2016,74
Chamarajanagar,Kollegala Rural  PS,2017,54
Chamarajanagar,Kollegala Rural  PS,2018,50
Chamarajanagar,Kollegala Rural  PS,2019,82
Chamarajanagar,Kollegala Rural  PS,2020,62
Chamarajanagar,Kollegala Rural  PS,2021,70
Chamarajanagar,Kollegala Rural  PS,2022,48
Chamarajanagar,Kollegala Rural  PS,2023,51
Chamarajanagar,Kollegala Town PS,2016,35
Chamarajanagar,Kollegala Town PS,2017,33
Chamarajanagar,Kollegala Town PS,2018,29
Chamarajanagar,Kollegala Town PS,2019,25
Chamarajanagar,Kollegala Town PS,2020,34
Chamarajanagar,Kollegala Town PS,2021,19
Chamarajanagar,Kollegala Town PS,2022,36
Chamarajanagar,Kollegala Town PS,2023,39
Chamarajanagar,Kuderu PS,2016,9
Chamarajanagar,Kuderu PS,2017,14
Chamarajanagar,Kuderu PS,2018,13
Chamarajanagar,Kuderu PS,2019,8
Chamarajanagar,Kuderu PS,2020,11
Chamarajanagar,Kuderu PS,2021,7
Chamarajanagar,Kuderu PS,2022,13
Chamarajanagar,Kuderu PS,2023,15
Chamarajanagar,M.M. Hills PS,2016,22
Chamarajanagar,M.M. Hills PS,2017,11
Chamarajanagar,M.M. Hills PS,2018,19
Chamarajanagar,M.M. Hills PS,2019,19
Chamarajanagar,M.M. Hills PS,2020,11
Chamarajanagar,M.M. Hills PS,2021,20
Chamarajanagar,M.M. Hills PS,2022,15
Chamarajanagar,M.M. Hills PS,2023,15
Chamarajanagar,Mambali PS,2016,3
Chamarajanagar,Mambali PS,2017,3
Chamarajanagar,Mambali PS,2018,3
Chamarajanagar,Mambali PS,2019,4
Chamarajanagar,Mambali PS,2020,3
Chamarajanagar,Mambali PS,2021,5
Chamarajanagar,Mambali PS,2022,24
Chamarajanagar,Mambali PS,2023,39
Chamarajanagar,Ramapura PS,2016,28
Chamarajanagar,Ramapura PS,2017,22
Chamarajanagar,Ramapura PS,2018,20
Chamarajanagar,Ramapura PS,2019,28
Chamarajanagar,Ramapura PS,2020,23
Chamarajanagar,Ramapura PS,2021,27
Chamarajanagar,Ramapura PS,2022,33
Chamarajanagar,Ramapura PS,2023,33
Chamarajanagar,Santemaralli PS,2016,22
Chamarajanagar,Santemaralli PS,2017,12
Chamarajanagar,Santemaralli PS,2018,16
Chamarajanagar,Santemaralli PS,2019,8
Chamarajanagar,Santemaralli PS,2020,8
Chamarajanagar,Santemaralli PS,2021,4
Chamarajanagar,Santemaralli PS,2022,20
Chamarajanagar,Santemaralli PS,2023,15
Chamarajanagar,Terakanambi PS,2016,17
Chamarajanagar,Terakanambi PS,2017,28
Chamarajanagar,Terakanambi PS,2018,25
Chamarajanagar,Terakanambi PS,2019,29
Chamarajanagar,Terakanambi PS,2020,26
Chamarajanagar,Terakanambi PS,2021,18
Chamarajanagar,Terakanambi PS,2022,22
Chamarajanagar,Terakanambi PS,2023,16
Chamarajanagar,Yelandur  PS,2016,34
Chamarajanagar,Yelandur  PS,2017,26
Chamarajanagar,Yelandur  PS,2018,27
Chamarajanagar,Yelandur  PS,2019,28
Chamarajanagar,Yelandur  PS,2020,38
Chamarajanagar,Yelandur  PS,2021,36
Chamarajanagar,Yelandur  PS,2022,37
Chamarajanagar,Yelandur  PS,2023,34
Chickballapura,Bagepalli PS,2016,53
Chickballapura,Bagepalli PS,2017,35
Chickballapura,Bagepalli PS,2018,56
Chickballapura,Bagepalli PS,2019,52
Chickballapura,Bagepalli PS,2020,42
Chickballapura,Bagepalli PS,2021,52
Chickballapura,Bagepalli PS,2022,64
Chickballapura,Bagepalli PS,2023,56
Chickballapura,Batlahalli PS,2016,7
Chickballapura,Batlahalli PS,2017,15
Chickballapura,Batlahalli PS,2018,8
Chickballapura,Batlahalli PS,2019,7
Chickballapura,Batlahalli PS,2020,4
Chickballapura,Batlahalli PS,2021,7
Chickballapura,Batlahalli PS,2022,13
Chickballapura,Batlahalli PS,2023,12
Chickballapura,Chelur PS,2016,3
Chickballapura,Chelur PS,2017,2
Chickballapura,Chelur PS,2018,8
Chickballapura,Chelur PS,2019,4
Chickballapura,Chelur PS,2020,2
Chickballapura,Chelur PS,2021,10
Chickballapura,Chelur PS,2022,4
Chickballapura,Chelur PS,2023,10
Chickballapura,Chickballapura Rural PS,2016,51
Chickballapura,Chickballapura Rural PS,2017,42
Chickballapura,Chickballapura Rural PS,2018,70
Chickballapura,Chickballapura Rural PS,2019,53
Chickballapura,Chickballapura Rural PS,2020,58
Chickballapura,Chickballapura Rural PS,2021,54
Chickballapura,Chickballapura Rural PS,2022,61
Chickballapura,Chickballapura Rural PS,2023,59
Chickballapura,Chickballapura Traffic PS,2016,71
Chickballapura,Chickballapura Traffic PS,2017,63
Chickballapura,Chickballapura Traffic PS,2018,72
Chickballapura,Chickballapura Traffic PS,2019,63
Chickballapura,Chickballapura Traffic PS,2020,53
Chickballapura,Chickballapura Traffic PS,2021,47
Chickballapura,Chickballapura Traffic PS,2022,65
Chickballapura,Chickballapura Traffic PS,2023,61
Chickballapura,Chintamani Rural PS,2016,86
Chickballapura,Chintamani Rural PS,2017,78
Chickballapura,Chintamani Rural PS,2018,116
Chickballapura,Chintamani Rural PS,2019,79
Chickballapura,Chintamani Rural PS,2020,87
Chickballapura,Chintamani Rural PS,2021,78
Chickballapura,Chintamani Rural PS,2022,85
Chickballapura,Chintamani Rural PS,2023,141
Chickballapura,Chintamani Town PS,2016,15
Chickballapura,Chintamani Town PS,2017,19
Chickballapura,Chintamani Town PS,2018,17
Chickballapura,Chintamani Town PS,2019,8
Chickballapura,Chintamani Town PS,2020,11
Chickballapura,Chintamani Town PS,2021,14
Chickballapura,Chintamani Town PS,2022,19
Chickballapura,Chintamani Town PS,2023,23
Chickballapura,Dibburahalli PS,2016,19
Chickballapura,Dibburahalli PS,2017,11
Chickballapura,Dibburahalli PS,2018,19
Chickballapura,Dibburahalli PS,2019,16
Chickballapura,Dibburahalli PS,2020,17
Chickballapura,Dibburahalli PS,2021,16
Chickballapura,Dibburahalli PS,2022,16
Chickballapura,Dibburahalli PS,2023,25
Chickballapura,Gowribidanur Rural PS,2016,47
Chickballapura,Gowribidanur Rural PS,2017,38
Chickballapura,Gowribidanur Rural PS,2018,51
Chickballapura,Gowribidanur Rural PS,2019,55
Chickballapura,Gowribidanur Rural PS,2020,46
Chickballapura,Gowribidanur Rural PS,2021,60
Chickballapura,Gowribidanur Rural PS,2022,62
Chickballapura,Gowribidanur Rural PS,2023,65
Chickballapura,Gowribidanur Town PS,2016,26
Chickballapura,Gowribidanur Town PS,2017,24
Chickballapura,Gowribidanur Town PS,2018,30
Chickballapura,Gowribidanur Town PS,2019,24
Chickballapura,Gowribidanur Town PS,2020,26
Chickballapura,Gowribidanur Town PS,2021,32
Chickballapura,Gowribidanur Town PS,2022,40
Chickballapura,Gowribidanur Town PS,2023,34
Chickballapura,Gudibande PS,2016,64
Chickballapura,Gudibande PS,2017,61
Chickballapura,Gudibande PS,2018,59
Chickballapura,Gudibande PS,2019,62
Chickballapura,Gudibande PS,2020,37
Chickballapura,Gudibande PS,2021,57
Chickballapura,Gudibande PS,2022,32
Chickballapura,Gudibande PS,2023,38
Chickballapura,Kencharlahalli PS,2016,18
Chickballapura,Kencharlahalli PS,2017,23
Chickballapura,Kencharlahalli PS,2018,23
Chickballapura,Kencharlahalli PS,2019,25
Chickballapura,Kencharlahalli PS,2020,17
Chickballapura,Kencharlahalli PS,2021,18
Chickballapura,Kencharlahalli PS,2022,23
Chickballapura,Kencharlahalli PS,2023,31
Chickballapura,Manchenalli PS,2016,31
Chickballapura,Manchenalli PS,2017,32
Chickballapura,Manchenalli PS,2018,61
Chickballapura,Manchenalli PS,2019,49
Chickballapura,Manchenalli PS,2020,56
Chickballapura,Manchenalli PS,2021,50
Chickballapura,Manchenalli PS,2022,49
Chickballapura,Manchenalli PS,2023,67
Chickballapura,Nandi Giridhama PS,2016,34
Chickballapura,Nandi Giridhama PS,2017,30
Chickballapura,Nandi Giridhama PS,2018,33
Chickballapura,Nandi Giridhama PS,2019,30
Chickballapura,Nandi Giridhama PS,2020,21
Chickballapura,Nandi Giridhama PS,2021,28
Chickballapura,Nandi Giridhama PS,2022,29
Chickballapura,Nandi Giridhama PS,2023,48
Chickballapura,Patapalya PS,2016,6
Chickballapura,Patapalya PS,2017,1
Chickballapura,Patapalya PS,2018,6
Chickballapura,Patapalya PS,2019,5
Chickballapura,Patapalya PS,2020,5
Chickballapura,Patapalya PS,2021,6
Chickballapura,Patapalya PS,2022,9
Chickballapura,Patapalya PS,2023,11
Chickballapura,Peresandra PS,2021,18
Chickballapura,Peresandra PS,2022,69
Chickballapura,Peresandra PS,2023,82
Chickballapura,Shidlagatta Rural PS,2016,43
Chickballapura,Shidlagatta Rural PS,2017,55
Chickballapura,Shidlagatta Rural PS,2018,41
Chickballapura,Shidlagatta Rural PS,2019,57
Chickballapura,Shidlagatta Rural PS,2020,51
Chickballapura,Shidlagatta Rural PS,2021,37
Chickballapura,Shidlagatta Rural PS,2022,63
Chickballapura,Shidlagatta Rural PS,2023,60
Chickballapura,Shidlaghatta Town PS,2016,3
Chickballapura,Shidlaghatta Town PS,2017,5
Chickballapura,Shidlaghatta Town PS,2018,12
Chickballapura,Shidlaghatta Town PS,2019,7
Chickballapura,Shidlaghatta Town PS,2020,9
Chickballapura,Shidlaghatta Town PS,2021,6
Chickballapura,Shidlaghatta Town PS,2022,3
Chickballapura,Shidlaghatta Town PS,2023,9
Chikkamagaluru,Ajjampura PS,2016,40
Chikkamagaluru,Ajjampura PS,2017,41
Chikkamagaluru,Ajjampura PS,2018,55
Chikkamagaluru,Ajjampura PS,2019,76
Chikkamagaluru,Ajjampura PS,2020,72
Chikkamagaluru,Ajjampura PS,2021,62
Chikkamagaluru,Ajjampura PS,2022,100
Chikkamagaluru,Ajjampura PS,2023,74
Chikkamagaluru,Aldur PS,2016,38
Chikkamagaluru,Aldur PS,2017,48
Chikkamagaluru,Aldur PS,2018,50
Chikkamagaluru,Aldur PS,2019,39
Chikkamagaluru,Aldur PS,2020,37
Chikkamagaluru,Aldur PS,2021,24
Chikkamagaluru,Aldur PS,2022,31
Chikkamagaluru,Aldur PS,2023,38
Chikkamagaluru,Balehonnur PS,2016,33
Chikkamagaluru,Balehonnur PS,2017,26
Chikkamagaluru,Balehonnur PS,2018,32
Chikkamagaluru,Balehonnur PS,2019,25
Chikkamagaluru,Balehonnur PS,2020,26
Chikkamagaluru,Balehonnur PS,2021,15
Chikkamagaluru,Balehonnur PS,2022,18
Chikkamagaluru,Balehonnur PS,2023,26
Chikkamagaluru,Balur  PS,2016,8
Chikkamagaluru,Balur  PS,2017,12
Chikkamagaluru,Balur  PS,2018,10
Chikkamagaluru,Balur  PS,2019,7
Chikkamagaluru,Balur  PS,2020,8
Chikkamagaluru,Balur  PS,2021,5
Chikkamagaluru,Balur  PS,2022,1
Chikkamagaluru,Balur  PS,2023,4
Chikkamagaluru,Banakal  PS,2016,27
Chikkamagaluru,Banakal  PS,2017,22
Chikkamagaluru,Banakal  PS,2018,37
Chikkamagaluru,Banakal  PS,2019,17
Chikkamagaluru,Banakal  PS,2020,6
Chikkamagaluru,Banakal  PS,2021,12
Chikkamagaluru,Banakal  PS,2022,24
Chikkamagaluru,Banakal  PS,2023,31
Chikkamagaluru,Birur PS,2016,63
Chikkamagaluru,Birur PS,2017,48
Chikkamagaluru,Birur PS,2018,52
Chikkamagaluru,Birur PS,2019,57
Chikkamagaluru,Birur PS,2020,54
Chikkamagaluru,Birur PS,2021,63
Chikkamagaluru,Birur PS,2022,63
Chikkamagaluru,Birur PS,2023,60
Chikkamagaluru,Chickmagalur Rural  PS,2016,114
Chikkamagaluru,Chickmagalur Rural  PS,2017,110
Chikkamagaluru,Chickmagalur Rural  PS,2018,85
Chikkamagaluru,Chickmagalur Rural  PS,2019,97
Chikkamagaluru,Chickmagalur Rural  PS,2020,96
Chikkamagaluru,Chickmagalur Rural  PS,2021,84
Chikkamagaluru,Chickmagalur Rural  PS,2022,102
Chikkamagaluru,Chickmagalur Rural  PS,2023,93
Chikkamagaluru,Chickmagalur Traffic PS,2016,110
Chikkamagaluru,Chickmagalur Traffic PS,2017,150
Chikkamagaluru,Chickmagalur Traffic PS,2018,101
Chikkamagaluru,Chickmagalur Traffic PS,2019,100
Chikkamagaluru,Chickmagalur Traffic PS,2020,70
Chikkamagaluru,Chickmagalur Traffic PS,2021,97
Chikkamagaluru,Chickmagalur Traffic PS,2022,139
Chikkamagaluru,Chickmagalur Traffic PS,2023,144
Chikkamagaluru,Gonibeedu PS,2016,14
Chikkamagaluru,Gonibeedu PS,2017,17
Chikkamagaluru,Gonibeedu PS,2018,33
Chikkamagaluru,Gonibeedu PS,2019,8
Chikkamagaluru,Gonibeedu PS,2020,8
Chikkamagaluru,Gonibeedu PS,2021,12
Chikkamagaluru,Gonibeedu PS,2022,15
Chikkamagaluru,Gonibeedu PS,2023,13
Chikkamagaluru,Hariharapura PS,2016,9
Chikkamagaluru,Hariharapura PS,2017,5
Chikkamagaluru,Hariharapura PS,2018,8
Chikkamagaluru,Hariharapura PS,2019,18
Chikkamagaluru,Hariharapura PS,2020,8
Chikkamagaluru,Hariharapura PS,2021,6
Chikkamagaluru,Hariharapura PS,2022,13
Chikkamagaluru,Hariharapura PS,2023,8
Chikkamagaluru,Jayapura PS,2016,4
Chikkamagaluru,Jayapura PS,2017,9
Chikkamagaluru,Jayapura PS,2018,6
Chikkamagaluru,Jayapura PS,2019,9
Chikkamagaluru,Jayapura PS,2020,9
Chikkamagaluru,Jayapura PS,2021,7
Chikkamagaluru,Jayapura PS,2022,11
Chikkamagaluru,Jayapura PS,2023,8
Chikkamagaluru,Kadur PS,2016,88
Chikkamagaluru,Kadur PS,2017,85
Chikkamagaluru,Kadur PS,2018,80
Chikkamagaluru,Kadur PS,2019,78
Chikkamagaluru,Kadur PS,2020,69
Chikkamagaluru,Kadur PS,2021,82
Chikkamagaluru,Kadur PS,2022,102
Chikkamagaluru,Kadur PS,2023,73
Chikkamagaluru,Kalasa PS,2016,11
Chikkamagaluru,Kalasa PS,2017,13
Chikkamagaluru,Kalasa PS,2018,13
Chikkamagaluru,Kalasa PS,2019,12
Chikkamagaluru,Kalasa PS,2020,10
Chikkamagaluru,Kalasa PS,2021,10
Chikkamagaluru,Kalasa PS,2022,11
Chikkamagaluru,Kalasa PS,2023,24
Chikkamagaluru,Koppa  PS,2016,28
Chikkamagaluru,Koppa  PS,2017,26
Chikkamagaluru,Koppa  PS,2018,20
Chikkamagaluru,Koppa  PS,2019,27
Chikkamagaluru,Koppa  PS,2020,16
Chikkamagaluru,Koppa  PS,2021,24
Chikkamagaluru,Koppa  PS,2022,19
Chikkamagaluru,Koppa  PS,2023,17
Chikkamagaluru,Kuduremukh PS,2016,3
Chikkamagaluru,Kuduremukh PS,2018,4
Chikkamagaluru,Kuduremukh PS,2019,2
Chikkamagaluru,Kuduremukh PS,2021,4
Chikkamagaluru,Kuduremukh PS,2022,3
Chikkamagaluru,Kuduremukh PS,2023,2
Chikkamagaluru,Lakkavalli PS,2016,11
Chikkamagaluru,Lakkavalli PS,2017,17
Chikkamagaluru,Lakkavalli PS,2018,21
Chikkamagaluru,Lakkavalli PS,2019,21
Chikkamagaluru,Lakkavalli PS,2020,20
Chikkamagaluru,Lakkavalli PS,2021,11
Chikkamagaluru,Lakkavalli PS,2022,20
Chikkamagaluru,Lakkavalli PS,2023,16
Chikkamagaluru,Lingadahalli PS,2016,30
Chikkamagaluru,Lingadahalli PS,2017,25
Chikkamagaluru,Lingadahalli PS,2018,21
Chikkamagaluru,Lingadahalli PS,2019,23
Chikkamagaluru,Lingadahalli PS,2020,24
Chikkamagaluru,Lingadahalli PS,2021,25
Chikkamagaluru,Lingadahalli PS,2022,26
Chikkamagaluru,Lingadahalli PS,2023,22
Chikkamagaluru,Mallanduru PS,2016,15
Chikkamagaluru,Mallanduru PS,2017,9
Chikkamagaluru,Mallanduru PS,2018,12
Chikkamagaluru,Mallanduru PS,2019,7
Chikkamagaluru,Mallanduru PS,2020,4
Chikkamagaluru,Mallanduru PS,2021,7
Chikkamagaluru,Mallanduru PS,2022,7
Chikkamagaluru,Mallanduru PS,2023,10
Chikkamagaluru,Mudigere PS,2016,26
Chikkamagaluru,Mudigere PS,2017,30
Chikkamagaluru,Mudigere PS,2018,35
Chikkamagaluru,Mudigere PS,2019,31
Chikkamagaluru,Mudigere PS,2020,13
Chikkamagaluru,Mudigere PS,2021,42
Chikkamagaluru,Mudigere PS,2022,34
Chikkamagaluru,Mudigere PS,2023,52
Chikkamagaluru,N.R. Pura PS,2016,36
Chikkamagaluru,N.R. Pura PS,2017,35
Chikkamagaluru,N.R. Pura PS,2018,43
Chikkamagaluru,N.R. Pura PS,2019,32
Chikkamagaluru,N.R. Pura PS,2020,25
Chikkamagaluru,N.R. Pura PS,2021,26
Chikkamagaluru,N.R. Pura PS,2022,33
Chikkamagaluru,N.R. Pura PS,2023,32
Chikkamagaluru,Panchanahalli PS,2016,6
Chikkamagaluru,Panchanahalli PS,2017,11
Chikkamagaluru,Panchanahalli PS,2018,13
Chikkamagaluru,Panchanahalli PS,2019,12
Chikkamagaluru,Panchanahalli PS,2020,13
Chikkamagaluru,Panchanahalli PS,2021,10
Chikkamagaluru,Panchanahalli PS,2022,11
Chikkamagaluru,Panchanahalli PS,2023,12
Chikkamagaluru,Sakkaraya Patna PS,2016,45
Chikkamagaluru,Sakkaraya Patna PS,2017,46
Chikkamagaluru,Sakkaraya Patna PS,2018,42
Chikkamagaluru,Sakkaraya Patna PS,2019,39
Chikkamagaluru,Sakkaraya Patna PS,2020,42
Chikkamagaluru,Sakkaraya Patna PS,2021,55
Chikkamagaluru,Sakkaraya Patna PS,2022,67
